,ANNO,MES,Stenbacka
0,2012,1,0.539609541602536
1,2012,2,0.551589551544137
2,2012,3,0.5227829110298492
3,2012,4,0.5197701516620946
4,2012,5,0.5195440297334263
5,2012,6,0.5151325109989969
6,2012,7,0.5096296910285237
7,2012,8,0.4988815345275637
8,2012,9,0.4739561647138309
9,2012,10,0.4678872109074523
10,2012,11,0.49914892996665006
11,2012,12,0.4886788513423598
12,2013,1,0.49027601242341257
13,2013,2,0.49169383312110526
14,2013,3,0.4882667818827561
15,2013,4,0.48863924216910415
16,2013,5,0.46766141865239474
17,2013,6,0.46409905459692535
18,2013,7,0.4602658910140273
19,2013,8,0.4501328097722933
20,2013,9,0.4309472526536019
21,2013,10,0.4212487731003974
22,2013,11,0.42592018104028373
23,2013,12,0.4228874178633814
24,2014,1,0.4215297287169428
25,2014,2,0.4262366265906176
26,2014,3,0.41976860919583003
27,2014,4,0.4174626398393112
28,2014,5,0.42955450010380436
29,2014,6,0.4282429592594368
30,2014,7,0.41824256264530396
31,2014,8,0.41034690729754
32,2014,9,0.42045162556884674
33,2014,10,0.4396921754421269
34,2014,11,0.42741239920246116
35,2014,12,0.430673645196174
36,2015,1,0.4030405698614866
37,2015,2,0.40769257740618653
38,2015,3,0.40042811263135886
39,2015,4,0.3927148529988272
40,2015,5,0.41276696487482656
41,2015,6,0.40760629561624573
42,2015,7,0.40146045430116484
43,2015,8,0.403836967445038
44,2015,9,0.4064141069966396
45,2015,10,0.3747166052775142
46,2015,11,0.37894946278625563
47,2015,12,0.3684236798763396
48,2016,1,0.39238721736314236
49,2016,2,0.3870827686986562
50,2016,3,0.38681076611658827
51,2016,4,0.37620705591995135
52,2016,5,0.3743798492934593
53,2016,6,0.3702466268261023
54,2016,7,0.3743590705677734
55,2016,8,0.39354874395634154
56,2016,9,0.38723692643927
57,2016,10,0.3865858395507547
58,2016,11,0.3928892270801899
59,2016,12,0.39737701141284687
60,2017,1,0.39686813916163
61,2017,2,0.4076909438830123
62,2017,3,0.41484430631314634
63,2017,4,0.4196550859086461
64,2017,5,0.42437628834075125
65,2017,6,0.41006220549936334
66,2017,7,0.4112368519843041
67,2017,8,0.40493733229650597
68,2017,9,0.4054738067168976
69,2017,10,0.4083134520311703
70,2017,11,0.4061324006061344
71,2017,12,0.40073600385972136
72,2018,1,0.3993171398787012
73,2018,2,0.40736034922123543
74,2018,3,0.3914315989399788
75,2018,4,0.3840379759473658
76,2018,5,0.3835165566701075
77,2018,6,0.3935402405378793
78,2018,7,0.39627243010488367
79,2018,8,0.40087111292458805
80,2018,9,0.4074375201336003
81,2018,10,0.40472235893309566
82,2018,11,0.41260234989734357
83,2018,12,0.4066736304829051
84,2019,1,0.4515350121628476
85,2019,2,0.44185468096580827
86,2019,3,0.4287751579142747
87,2019,4,0.4311498094921753
88,2019,5,0.42551522624588606
89,2019,6,0.42078350611395166
90,2019,7,0.43333463525383975
91,2019,8,0.4332619593267905
92,2019,9,0.4307215975428216
93,2019,10,0.4289017194123024
94,2019,11,0.42413812525803674
95,2019,12,0.42490440703089327
96,2020,1,0.4249539185137098
97,2020,2,0.42844797446276184
98,2020,3,0.4244124614017938
99,2020,4,0.38400510577746955
100,2020,5,0.38389543136575327
101,2020,6,0.3949094088358371
102,2020,7,0.407340941761707
103,2020,8,0.41095571437370265
104,2020,9,0.40974784663218117
105,2020,10,0.408724433648077
106,2020,11,0.40720605637418494
107,2020,12,0.4067352372248044
108,2021,1,0.4119261765961033
109,2021,2,0.4083242401447392
110,2021,3,0.4057302133002364
111,2021,4,0.43801825212748746
112,2021,5,0.44601329251405164
113,2021,6,0.4582326227112908
114,2021,7,0.456510122784166
115,2021,8,0.45445944295840834
116,2021,9,0.45257477457201184
117,2021,10,0.44742550923227264
118,2021,11,0.44596880150725593
119,2021,12,0.4460610762146082
120,2022,1,0.4435387483579817
121,2022,2,0.4456205958667834
122,2022,3,0.4475053457995248
123,2022,4,0.4497067671107745
124,2022,5,0.45040780070437353
125,2022,6,0.4484201014757701
126,2022,7,0.45048535944283913
127,2022,8,0.45011040657723267
128,2022,9,0.45011819595026553
129,2022,10,0.45037968437189246
130,2022,11,0.44840200235376115
131,2022,12,0.44692881224016867
